csv_row_number,reaction_key,physical_dataset_id,source_row_index,label_decision_id,campaign_id
65,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0a80370f1ce8437482df8973dd8157a5,ord_dataset-7d8f5fd922d4497d91cb81489b052746,385,7229a41f5220cf526657722171f06a4af538602a4e27d4a0d9f61d1a6959a340,science_hte_campaign_aeefa100ca4f
66,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0ab0a0f9ee544731bf719d774832bd6a,ord_dataset-7d8f5fd922d4497d91cb81489b052746,743,f52238e8fd260d11668ddf429a1454480e16ba0ee6e59ffd3f166ea474dad406,science_hte_campaign_5dd9abf370cb
67,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0b2ad9c4880342b2995d9e8d0287df19,ord_dataset-7d8f5fd922d4497d91cb81489b052746,369,a91292c2101ba9e54639524087e062146f6a1a9cd50125282707d5e9a2715646,science_hte_campaign_8510665e92be
68,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0b2f786808464947abae4890c86b215d,ord_dataset-7d8f5fd922d4497d91cb81489b052746,442,2c840cbdf94641c9f51740227cb9eb6ba9be85b415f2ac98de8e8adac04cde60,science_hte_campaign_aeefa100ca4f
69,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0b4e7f7308b7429b8b146bfe1b0f3db8,ord_dataset-7d8f5fd922d4497d91cb81489b052746,229,c38255da2c3bf3e91826d806cb67987610605c24489bd38e2cdcd8206f8cd83c,science_hte_campaign_f324e61c5fa2
70,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0b87f75b5fd6412c91b92bd1000016f4,ord_dataset-7d8f5fd922d4497d91cb81489b052746,123,996a586e10c377fa9f9dd3a3592bef5d3d35f889902e4febf9a2c3c288401c8a,science_hte_campaign_c99fb883b4d8
71,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0be2047de9684f619b4dc3ab1081b1a9,ord_dataset-7d8f5fd922d4497d91cb81489b052746,622,e00fbe46ade94fffeeca28b1def1f660c4e990e5f3abb74b69e0bfe34269ec73,science_hte_campaign_3f02a74dbb14
72,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0be40d1813c8499f84250afff66dd446,ord_dataset-7d8f5fd922d4497d91cb81489b052746,483,07b237019a61b1872506de87976ab61faf665004ccf8cb93945f5d84e7140e0e,science_hte_campaign_283f403f90e1
73,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0c6f40297f1747d3821482b8f55e1123,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1210,26ef358cda73e7406236abb6fb3d86937f8626d965fafd7264fa918ba14aad4e,science_hte_campaign_6bf2df144d3d
74,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0d0f7f65891a49f4822b99badabc737f,ord_dataset-7d8f5fd922d4497d91cb81489b052746,609,d0c49e94cf36854ed13d9af1bc55e7136ac661eb2a53ef9fadfc00ca484395f1,science_hte_campaign_3f02a74dbb14
75,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0da2d2d320fb437bb162c99840319a8f,ord_dataset-7d8f5fd922d4497d91cb81489b052746,991,bd9b2e28f7e34046d526cc56ec5ebce345016ae1f7410378f7ee3c9c820fb0cb,science_hte_campaign_a04d9653a525
76,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0dcf6d369196436faa6c39f7770f9dd8,ord_dataset-7d8f5fd922d4497d91cb81489b052746,949,6e5ad90cfc9069b13799dd57357310672315c15574e012b5ea82991521300b39,science_hte_campaign_d8d10c924377
77,ord_dataset-7d8f5fd922d4497d91cb81489b052746:ord-0df3c1cbac4e4cc0a17195feecd72743,ord_dataset-7d8f5fd922d4497d91cb81489b052746,1131,8963d4594e284d31306bb8a257251d82e1842f574ed90d1f2bd635ff7aadc4e6,science_hte_campaign_2a3be0de5f5e
